Campaign_ID,Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Company
C001,18-25,Brand Awareness,15 Days,Facebook,0.12,"$420.00",3.2,New York,English,4200,85000,72,Health & Wellness,2024-01-05,AlphaMedia
C002,26-35,Lead Generation,30 Days,Instagram,0.18,"$680.00",4.1,Los Angeles,English,6800,120000,81,Technology,2024-01-08,BetaBrands
C003,36-45,Sales,20 Days,Twitter,0.09,"$310.00",2.4,Chicago,English,2900,64000,58,Finance,2024-01-12,GammaGrowth
C004,18-25,App Installs,10 Days,Pinterest,0.21,"$540.00",5.0,Miami,English,5400,95000,88,Beauty & Fashion,2024-01-15,DeltaDrive
C005,46-55,Brand Awareness,25 Days,Facebook,0.07,"$290.00",1.9,Houston,English,1800,52000,45,Retirement,2024-01-18,EpsilonEdge
C006,26-35,Sales,14 Days,Instagram,0.25,"$780.00",6.2,Seattle,English,9200,140000,91,Technology,2024-01-22,AlphaMedia
C007,18-25,Lead Generation,21 Days,Twitter,0.14,"$360.00",3.5,Boston,English,3600,72000,64,Education,2024-01-25,ZetaZone
C008,36-45,Brand Awareness,30 Days,Pinterest,0.08,"$250.00",2.1,Denver,English,2200,58000,52,Home & Garden,2024-01-28,BetaBrands
C009,26-35,App Installs,7 Days,Facebook,0.31,"$920.00",7.4,San Francisco,English,11000,160000,95,Technology,2024-02-01,GammaGrowth
C010,18-25,Sales,18 Days,Instagram,0.16,"$490.00",4.0,Phoenix,English,5200,98000,77,Health & Wellness,2024-02-04,DeltaDrive
C011,46-55,Lead Generation,28 Days,Twitter,0.06,"$220.00",1.5,Philadelphia,English,1400,42000,38,Finance,2024-02-07,EpsilonEdge
C012,36-45,App Installs,12 Days,Pinterest,0.19,"$610.00",4.8,Atlanta,English,7100,115000,83,Beauty & Fashion,2024-02-11,AlphaMedia
C013,26-35,Brand Awareness,22 Days,Facebook,0.11,"$380.00",2.9,Dallas,English,3100,68000,61,Technology,2024-02-14,ZetaZone
C014,18-25,Sales,16 Days,Instagram,0.28,"$840.00",6.8,San Diego,English,10200,155000,93,Health & Wellness,2024-02-18,BetaBrands
C015,36-45,Lead Generation,25 Days,Twitter,0.10,"$340.00",2.6,Portland,English,2500,55000,55,Education,2024-02-21,GammaGrowth
C016,46-55,Brand Awareness,30 Days,Pinterest,0.05,"$180.00",1.2,Las Vegas,English,1100,38000,32,Retirement,2024-02-25,DeltaDrive
C017,26-35,App Installs,9 Days,Facebook,0.27,"$760.00",6.0,Austin,English,8800,132000,89,Technology,2024-02-28,EpsilonEdge
C018,18-25,Sales,14 Days,Instagram,0.22,"$660.00",5.5,Nashville,English,7400,118000,84,Beauty & Fashion,2024-03-03,AlphaMedia
C019,36-45,Brand Awareness,20 Days,Twitter,0.08,"$270.00",2.0,Jacksonville,English,1900,50000,47,Home & Garden,2024-03-07,ZetaZone
C020,26-35,Lead Generation,30 Days,Pinterest,0.17,"$520.00",4.3,Columbus,English,5900,105000,78,Finance,2024-03-10,BetaBrands
C021,18-25,App Installs,11 Days,Facebook,0.24,"$720.00",5.8,Charlotte,English,8400,128000,87,Technology,2024-03-14,GammaGrowth
